user_id,card_id,year,month,day,time,amount,use_chip,merchant_name,merchant_city,merchant_state,zip,mcc,errors,is_fraud,tx_date,declined
3946,6324,2023,1,15,18:00,17.38,Chip Transaction,McDonalds #6136,Franklin,MN,69835,5814,,False,2023-01-15,False
2616,4217,2023,1,17,18:34,130.64,Chip Transaction,Delta #3813,Franklin,LA,73053,5651,,False,2023-01-17,False
1177,1888,2023,1,20,10:31,15.51,Swipe Transaction,HEB #2421,Madison,IL,49321,4121,Bad PIN,False,2023-01-20,True
800,1292,2023,1,21,13:40,219.39,Chip Transaction,Airlines Merchant 03814,Springfield,IL,46169,4511,Insufficient Balance,False,2023-01-21,True
4759,7622,2023,1,21,14:47,43.15,Chip Transaction,Panera #5706,Franklin,MN,45918,5411,,False,2023-01-21,False
4808,7697,2023,1,21,06:21,270.67,Chip Transaction,Wendys #1572,Springfield,OH,58979,5732,,False,2023-01-21,False
2858,4608,2023,1,21,00:02,33.36,Chip Transaction,Gas Merchant 01154,Springfield,WI,39173,5541,,False,2023-01-21,False
588,947,2023,1,24,19:46,44.0,Swipe Transaction,Gas Merchant 00504,Madison,NC,38675,5541,,False,2023-01-24,False
2127,3436,2023,1,24,08:47,69.29,Chip Transaction,Home Merchant 03965,Madison,OH,10490,5200,,False,2023-01-24,False
4389,7048,2023,2,1,13:03,38.27,Swipe Transaction,Grocery Merchant 01258,Franklin,LA,62997,5411,,False,2023-02-01,False
2640,4259,2023,2,1,13:27,24.85,Chip Transaction,Drug Merchant 01996,Georgetown,OH,17073,5912,,False,2023-02-01,False
3001,4825,2023,2,2,16:57,84.41,Chip Transaction,Restaurants Merchant 02641,Georgetown,OH,78338,5812,,False,2023-02-02,False
4378,7031,2023,2,2,02:10,56.18,Swipe Transaction,Gas Merchant 00112,Georgetown,SC,40087,5541,,False,2023-02-02,False
4949,7910,2023,2,2,19:46,12.68,Swipe Transaction,Gas Merchant 02865,Rochester,NY,63532,5541,,False,2023-02-02,False
